,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour
24480,13,2020-06-01 00:00:00,640.872,19.0,0.7,80.0,0.0,0.0,1,0,0,1,0
24481,13,2020-06-01 01:00:00,626.778,18.6,0.5,81.0,0.0,0.0,1,0,1,1,1
24482,13,2020-06-01 02:00:00,623.538,19.0,0.7,79.0,0.0,0.0,1,0,2,1,2
24483,13,2020-06-01 03:00:00,653.0219999999998,18.7,0.6,79.0,0.0,0.0,1,0,3,1,3
24484,13,2020-06-01 04:00:00,692.8739999999998,18.3,0.7,83.0,0.0,0.0,1,0,4,1,4
24485,13,2020-06-01 05:00:00,701.46,17.9,0.3,85.0,0.0,0.0,1,0,5,1,5
24486,13,2020-06-01 06:00:00,780.03,18.2,0.2,84.0,0.0,0.0,1,0,6,1,6
24487,13,2020-06-01 07:00:00,936.684,20.0,0.2,78.0,0.0,0.1,1,0,7,1,7
24488,13,2020-06-01 08:00:00,1171.098,21.0,1.6,73.0,0.0,0.6,1,0,8,1,8
24489,13,2020-06-01 09:00:00,1275.264,22.9,1.5,65.0,0.0,0.8,1,0,9,1,9
24490,13,2020-06-01 10:00:00,1291.95,24.5,2.5,61.0,0.0,1.0,1,0,10,1,10
24491,13,2020-06-01 11:00:00,1267.974,26.0,2.5,51.0,0.0,1.0,1,0,11,1,11
24492,13,2020-06-01 12:00:00,1165.914,26.0,2.4,44.0,0.0,1.0,1,0,12,1,12
24493,13,2020-06-01 13:00:00,1212.408,26.7,4.4,38.0,0.0,0.9,1,0,13,1,13
24494,13,2020-06-01 14:00:00,1217.106,27.7,1.8,35.0,0.0,1.0,1,0,14,1,14
24495,13,2020-06-01 15:00:00,1221.642,27.1,2.9,29.0,0.0,1.0,1,0,15,1,15
24496,13,2020-06-01 16:00:00,1222.128,26.5,4.3,30.0,0.0,1.0,1,0,16,1,16
24497,13,2020-06-01 17:00:00,961.47,25.9,4.1,29.0,0.0,1.0,1,0,17,1,17
24498,13,2020-06-01 18:00:00,811.4580000000002,24.7,3.5,27.0,0.0,1.0,1,0,18,1,18
24499,13,2020-06-01 19:00:00,775.6560000000002,23.1,1.6,32.0,0.0,0.6,1,0,19,1,19
24500,13,2020-06-01 20:00:00,768.204,21.8,3.1,36.0,0.0,0.0,1,0,20,1,20
24501,13,2020-06-01 21:00:00,727.5419999999998,20.8,2.2,39.0,0.0,0.0,1,0,21,1,21
