,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour
104040,52,2020-06-01 00:00:00,2764.8,17.6,2.5,92.0,0.8,0.0,1,1,0,1,0
104041,52,2020-06-01 01:00:00,2748.87,17.7,2.9,91.0,0.3,0.0,1,1,1,1,1
104042,52,2020-06-01 02:00:00,2733.48,17.5,3.2,91.0,0.0,0.0,1,1,2,1,2
104043,52,2020-06-01 03:00:00,2697.57,17.1,3.2,91.0,0.0,0.0,1,1,3,1,3
104044,52,2020-06-01 04:00:00,2724.3,17.0,3.3,92.0,0.0,0.0,1,1,4,1,4
104045,52,2020-06-01 05:00:00,2697.84,16.9,3.4,93.0,0.0,0.0,1,1,5,1,5
104046,52,2020-06-01 06:00:00,2718.09,16.7,3.4,90.0,0.1,0.0,1,1,6,1,6
104047,52,2020-06-01 07:00:00,2857.14,16.9,2.3,86.0,0.0,0.1,1,1,7,1,7
104048,52,2020-06-01 08:00:00,3118.23,17.8,3.3,80.0,0.0,0.3,1,1,8,1,8
104049,52,2020-06-01 09:00:00,3647.97,19.3,2.1,73.0,0.0,0.7,1,1,9,1,9
104050,52,2020-06-01 10:00:00,3856.14,20.5,3.4,62.0,0.0,1.0,1,1,10,1,10
104051,52,2020-06-01 11:00:00,3922.56,22.1,3.6,52.0,0.0,1.0,1,1,11,1,11
104052,52,2020-06-01 12:00:00,3853.71,23.1,4.0,49.0,0.0,1.0,1,1,12,1,12
104053,52,2020-06-01 13:00:00,3929.85,23.1,5.1,42.0,0.0,1.0,1,1,13,1,13
104054,52,2020-06-01 14:00:00,3951.72,23.6,5.1,39.0,0.0,1.0,1,1,14,1,14
104055,52,2020-06-01 15:00:00,3975.75,23.8,5.5,40.0,0.0,1.0,1,1,15,1,15
104056,52,2020-06-01 16:00:00,3902.04,24.4,3.0,39.0,0.0,1.0,1,1,16,1,16
104057,52,2020-06-01 17:00:00,3837.24,23.6,4.4,41.0,0.0,1.0,1,1,17,1,17
104058,52,2020-06-01 18:00:00,3491.91,22.7,4.1,42.0,0.0,1.0,1,1,18,1,18
104059,52,2020-06-01 19:00:00,3274.02,21.3,4.2,44.0,0.0,1.0,1,1,19,1,19
104060,52,2020-06-01 20:00:00,3154.95,19.8,2.5,51.0,0.0,0.4,1,1,20,1,20
104061,52,2020-06-01 21:00:00,3043.17,18.6,2.5,55.0,0.0,0.0,1,1,21,1,21
104062,52,2020-06-01 22:00:00,2940.84,17.9,2.0,62.0,0.0,0.0,1,1,22,1,22
104063,52,2020-06-01 23:00:00,2862.27,17.2,2.0,68.0,0.0,0.0,1,1,23,1,23
104064,52,2020-06-02 00:00:00,2835.27,16.6,1.6,74.0,0.0,0.0,1,1,24,2,0
104065,52,2020-06-02 01:00:00,2802.6,16.2,0.8,77.0,0.0,0.0,1,1,25,2,1
104066,52,2020-06-02 02:00:00,2771.55,15.9,1.1,78.0,0.0,0.0,1,1,26,2,2
104067,52,2020-06-02 03:00:00,2763.72,15.7,0.4,78.0,0.0,0.0,1,1,27,2,3
104068,52,2020-06-02 04:00:00,2744.28,15.5,0.9,79.0,0.0,0.0,1,1,28,2,4
104069,52,2020-06-02 05:00:00,2739.42,14.8,1.3,79.0,0.0,0.0,1,1,29,2,5
104070,52,2020-06-02 06:00:00,2857.68,15.0,2.2,79.0,0.0,0.0,1,1,30,2,6
104071,52,2020-06-02 07:00:00,3059.64,15.5,1.4,77.0,0.0,0.0,1,1,31,2,7
104072,52,2020-06-02 08:00:00,3226.5,16.0,2.2,75.0,0.0,0.0,1,1,32,2,8
104073,52,2020-06-02 09:00:00,3577.5,16.9,2.5,71.0,0.0,0.0,1,1,33,2,9
104074,52,2020-06-02 10:00:00,3745.71,17.3,2.5,65.0,0.0,0.0,1,1,34,2,10
104075,52,2020-06-02 11:00:00,3736.26,17.5,2.6,70.0,0.0,0.0,1,1,35,2,11
104076,52,2020-06-02 12:00:00,3716.01,16.3,2.9,80.0,1.9,0.0,1,1,36,2,12
104077,52,2020-06-02 13:00:00,3759.75,17.5,2.2,68.0,0.0,0.0,1,1,37,2,13
104078,52,2020-06-02 14:00:00,3940.11,20.4,3.1,51.0,0.0,0.1,1,1,38,2,14
104079,52,2020-06-02 15:00:00,3917.7,20.9,2.2,48.0,0.0,0.0,1,1,39,2,15
104080,52,2020-06-02 16:00:00,3818.34,21.7,2.5,46.0,0.0,0.1,1,1,40,2,16
104081,52,2020-06-02 17:00:00,3645.27,21.2,3.3,55.0,0.0,0.0,1,1,41,2,17
104082,52,2020-06-02 18:00:00,3359.34,20.6,2.4,58.0,0.0,0.0,1,1,42,2,18
104083,52,2020-06-02 19:00:00,3244.86,20.3,2.9,61.0,0.0,0.0,1,1,43,2,19
104084,52,2020-06-02 20:00:00,3126.87,19.9,3.1,65.0,0.0,0.0,1,1,44,2,20
104085,52,2020-06-02 21:00:00,3045.6,19.6,2.7,70.0,0.0,0.0,1,1,45,2,21
104086,52,2020-06-02 22:00:00,2967.3,19.3,2.2,74.0,0.0,0.0,1,1,46,2,22
104087,52,2020-06-02 23:00:00,2889.27,19.0,1.7,79.0,0.0,0.0,1,1,47,2,23
104088,52,2020-06-03 00:00:00,2866.86,18.4,1.7,84.0,0.1,0.0,1,1,48,3,0
104089,52,2020-06-03 01:00:00,2866.05,18.3,2.0,86.0,0.0,0.0,1,1,49,3,1
104090,52,2020-06-03 02:00:00,2828.25,18.2,1.8,89.0,0.0,0.0,1,1,50,3,2
104091,52,2020-06-03 03:00:00,2816.64,18.2,1.3,89.0,0.0,0.0,1,1,51,3,3
104092,52,2020-06-03 04:00:00,2805.84,18.1,1.5,87.0,0.0,0.0,1,1,52,3,4
104093,52,2020-06-03 05:00:00,2776.14,18.1,1.3,88.0,0.0,0.0,1,1,53,3,5
104094,52,2020-06-03 06:00:00,2809.35,17.6,0.4,89.0,0.0,0.0,1,1,54,3,6
104095,52,2020-06-03 07:00:00,2960.82,18.3,1.8,88.0,0.0,0.3,1,1,55,3,7
104096,52,2020-06-03 08:00:00,3214.89,19.7,2.0,82.0,0.0,0.9,1,1,56,3,8
104097,52,2020-06-03 09:00:00,3788.37,20.8,0.8,76.0,0.0,0.4,1,1,57,3,9
104098,52,2020-06-03 10:00:00,4040.01,22.0,1.4,73.0,0.0,0.2,1,1,58,3,10
104099,52,2020-06-03 11:00:00,4054.05,23.1,2.2,68.0,0.0,0.3,1,1,59,3,11
104100,52,2020-06-03 12:00:00,4038.66,24.4,2.6,58.0,0.0,0.6,1,1,60,3,12
104101,52,2020-06-03 13:00:00,4168.26,26.1,2.2,55.0,0.0,1.0,1,1,61,3,13
104102,52,2020-06-03 14:00:00,4251.96,26.8,2.7,50.0,0.0,1.0,1,1,62,3,14
104103,52,2020-06-03 15:00:00,4493.07,27.9,2.5,52.0,0.0,1.0,1,1,63,3,15
104104,52,2020-06-03 16:00:00,5194.8,28.2,2.8,48.0,0.0,1.0,1,1,64,3,16
104105,52,2020-06-03 17:00:00,5109.21,28.1,3.8,49.0,0.0,1.0,1,1,65,3,17
104106,52,2020-06-03 18:00:00,4814.91,26.1,4.5,60.0,0.0,1.0,1,1,66,3,18
104107,52,2020-06-03 19:00:00,4546.53,23.8,4.8,68.0,0.0,0.8,1,1,67,3,19
104108,52,2020-06-03 20:00:00,3361.23,21.0,5.2,80.0,0.0,0.0,1,1,68,3,20
104109,52,2020-06-03 21:00:00,3152.52,20.5,3.1,81.0,0.0,0.0,1,1,69,3,21
104110,52,2020-06-03 22:00:00,3029.94,20.4,2.4,81.0,0.0,0.0,1,1,70,3,22
104111,52,2020-06-03 23:00:00,2945.7,20.1,2.2,81.0,0.0,0.0,1,1,71,3,23
104112,52,2020-06-04 00:00:00,2895.75,20.1,1.5,81.0,0.0,0.0,1,1,72,4,0
104113,52,2020-06-04 01:00:00,2876.04,20.0,2.2,83.0,0.0,0.0,1,1,73,4,1
104114,52,2020-06-04 02:00:00,2826.36,20.1,1.0,84.0,0.0,0.0,1,1,74,4,2
104115,52,2020-06-04 03:00:00,2804.76,20.4,2.6,86.0,0.0,0.0,1,1,75,4,3
104116,52,2020-06-04 04:00:00,2792.88,20.5,2.0,88.0,0.0,0.0,1,1,76,4,4
104117,52,2020-06-04 05:00:00,2783.7,20.3,2.0,91.0,0.0,0.0,1,1,77,4,5
104118,52,2020-06-04 06:00:00,2857.14,20.1,3.0,91.0,0.1,0.0,1,1,78,4,6
104119,52,2020-06-04 07:00:00,3368.25,20.1,2.2,90.0,0.0,0.0,1,1,79,4,7
104120,52,2020-06-04 08:00:00,4075.38,20.1,3.5,89.0,0.1,0.0,1,1,80,4,8
104121,52,2020-06-04 09:00:00,4872.42,20.6,3.1,90.0,0.0,0.0,1,1,81,4,9
104122,52,2020-06-04 10:00:00,5081.4,22.4,2.7,76.0,0.0,0.5,1,1,82,4,10
104123,52,2020-06-04 11:00:00,4979.34,23.9,2.8,68.0,0.0,0.6,1,1,83,4,11
104124,52,2020-06-04 12:00:00,4872.15,25.0,3.1,63.0,0.0,0.8,1,1,84,4,12
104125,52,2020-06-04 13:00:00,5101.11,26.0,3.1,60.0,0.0,1.0,1,1,85,4,13
104126,52,2020-06-04 14:00:00,5310.9,26.4,3.8,60.0,0.0,1.0,1,1,86,4,14
104127,52,2020-06-04 15:00:00,5352.21,25.4,4.2,66.0,0.0,0.5,1,1,87,4,15
104128,52,2020-06-04 16:00:00,5228.28,24.3,3.6,70.0,0.0,0.0,1,1,88,4,16
104129,52,2020-06-04 17:00:00,4967.19,23.2,4.1,75.0,0.0,0.1,1,1,89,4,17
104130,52,2020-06-04 18:00:00,4346.73,22.8,3.1,77.0,0.0,0.2,1,1,90,4,18
104131,52,2020-06-04 19:00:00,4185.27,21.7,3.3,80.0,0.0,0.0,1,1,91,4,19
104132,52,2020-06-04 20:00:00,3465.99,21.4,2.5,83.0,0.0,0.0,1,1,92,4,20
104133,52,2020-06-04 21:00:00,3270.24,20.8,1.9,86.0,0.0,0.0,1,1,93,4,21
104134,52,2020-06-04 22:00:00,3167.37,20.3,1.6,89.0,0.0,0.0,1,1,94,4,22
104135,52,2020-06-04 23:00:00,3092.85,19.9,1.4,91.0,0.0,0.0,1,1,95,4,23
104136,52,2020-06-05 00:00:00,3037.77,19.7,2.0,90.0,0.0,0.0,1,1,96,5,0
104137,52,2020-06-05 01:00:00,2988.36,19.5,1.4,90.0,0.0,0.0,1,1,97,5,1
104138,52,2020-06-05 02:00:00,2931.12,19.3,1.6,90.0,0.0,0.0,1,1,98,5,2
104139,52,2020-06-05 03:00:00,2899.8,19.3,1.6,90.0,0.0,0.0,1,1,99,5,3
104140,52,2020-06-05 04:00:00,2898.72,18.9,1.5,90.0,0.0,0.0,1,1,100,5,4
104141,52,2020-06-05 05:00:00,2860.65,18.4,1.3,92.0,0.0,0.0,1,1,101,5,5
104142,52,2020-06-05 06:00:00,2887.65,18.7,1.3,92.0,0.0,0.0,1,1,102,5,6
104143,52,2020-06-05 07:00:00,3072.33,19.0,1.1,90.0,0.0,0.0,1,1,103,5,7
104144,52,2020-06-05 08:00:00,3877.47,19.9,2.2,86.0,0.0,0.1,1,1,104,5,8
104145,52,2020-06-05 09:00:00,4868.64,21.0,1.5,77.0,0.0,0.2,1,1,105,5,9
104146,52,2020-06-05 10:00:00,5031.99,22.3,1.3,71.0,0.0,0.6,1,1,106,5,10
104147,52,2020-06-05 11:00:00,4986.63,23.9,2.5,67.0,0.0,0.8,1,1,107,5,11
104148,52,2020-06-05 12:00:00,4952.61,25.1,2.2,60.0,0.0,0.8,1,1,108,5,12
104149,52,2020-06-05 13:00:00,5023.08,26.3,1.8,57.0,0.0,0.9,1,1,109,5,13
104150,52,2020-06-05 14:00:00,5065.2,27.2,2.8,50.0,0.0,1.0,1,1,110,5,14
104151,52,2020-06-05 15:00:00,5165.91,27.8,3.2,48.0,0.0,1.0,1,1,111,5,15
104152,52,2020-06-05 16:00:00,5127.57,28.5,2.6,46.0,0.0,1.0,1,1,112,5,16
104153,52,2020-06-05 17:00:00,4994.46,28.6,2.1,46.0,0.0,1.0,1,1,113,5,17
104154,52,2020-06-05 18:00:00,4649.67,27.9,2.6,49.0,0.0,1.0,1,1,114,5,18
104155,52,2020-06-05 19:00:00,4316.76,25.8,3.3,60.0,0.0,0.4,1,1,115,5,19
104156,52,2020-06-05 20:00:00,3215.16,24.4,2.0,64.0,0.0,0.0,1,1,116,5,20
104157,52,2020-06-05 21:00:00,3119.31,23.1,1.7,66.0,0.0,0.0,1,1,117,5,21
104158,52,2020-06-05 22:00:00,3046.14,22.4,1.4,72.0,0.0,0.0,1,1,118,5,22
104159,52,2020-06-05 23:00:00,2976.75,21.7,2.1,72.0,0.0,0.0,1,1,119,5,23
104160,52,2020-06-06 00:00:00,2942.19,21.1,0.9,73.0,0.0,0.0,1,1,120,6,0
104161,52,2020-06-06 01:00:00,2915.73,20.7,1.1,77.0,0.0,0.0,1,1,121,6,1
104162,52,2020-06-06 02:00:00,2871.18,20.3,0.9,80.0,0.0,0.0,1,1,122,6,2
104163,52,2020-06-06 03:00:00,2856.87,20.1,1.0,80.0,0.0,0.0,1,1,123,6,3
104164,52,2020-06-06 04:00:00,2835.81,19.7,1.7,81.0,0.0,0.0,1,1,124,6,4
