,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour
89760,45,2020-06-01 00:00:00,847.368,17.0,2.0,100.0,1.1,0.0,0,1,0,1,0
89761,45,2020-06-01 01:00:00,834.6239999999998,17.2,2.3,99.0,0.1,0.0,0,1,1,1,1
89762,45,2020-06-01 02:00:00,792.936,17.2,3.7,98.0,0.0,0.0,0,1,2,1,2
89763,45,2020-06-01 03:00:00,773.4960000000002,16.7,3.1,99.0,0.0,0.0,0,1,3,1,3
89764,45,2020-06-01 04:00:00,782.568,16.9,3.5,98.0,0.0,0.0,0,1,4,1,4
89765,45,2020-06-01 05:00:00,940.341,16.6,3.6,99.0,0.0,0.0,0,1,5,1,5
89766,45,2020-06-01 06:00:00,1326.933,16.7,2.4,99.0,0.1,0.0,0,1,6,1,6
89767,45,2020-06-01 07:00:00,1552.743,16.9,3.3,94.0,0.0,0.2,0,1,7,1,7
89768,45,2020-06-01 08:00:00,1667.4779999999996,17.9,2.7,88.0,0.0,0.4,0,1,8,1,8
89769,45,2020-06-01 09:00:00,1681.89,19.5,2.7,78.0,0.0,0.9,0,1,9,1,9
89770,45,2020-06-01 10:00:00,1639.215,20.7,3.2,68.0,0.0,1.0,0,1,10,1,10
89771,45,2020-06-01 11:00:00,1417.0815,22.4,3.4,58.0,0.0,1.0,0,1,11,1,11
89772,45,2020-06-01 12:00:00,1397.178,23.2,4.8,49.0,0.0,1.0,0,1,12,1,12
89773,45,2020-06-01 13:00:00,1361.592,22.8,4.3,45.0,0.0,1.0,0,1,13,1,13
89774,45,2020-06-01 14:00:00,1570.869,23.6,4.4,47.0,0.0,1.0,0,1,14,1,14
89775,45,2020-06-01 15:00:00,1643.5079999999996,23.1,5.3,45.0,0.0,1.0,0,1,15,1,15
89776,45,2020-06-01 16:00:00,1586.799,22.9,5.2,43.0,0.0,1.0,0,1,16,1,16
89777,45,2020-06-01 17:00:00,1393.677,22.2,4.6,44.0,0.0,1.0,0,1,17,1,17
89778,45,2020-06-01 18:00:00,1149.2910000000004,21.6,4.6,50.0,0.0,1.0,0,1,18,1,18
89779,45,2020-06-01 19:00:00,969.879,19.9,2.5,58.0,0.0,1.0,0,1,19,1,19
89780,45,2020-06-01 20:00:00,944.784,17.3,1.9,72.0,0.0,0.3,0,1,20,1,20
89781,45,2020-06-01 21:00:00,908.28,16.1,2.8,80.0,0.0,0.0,0,1,21,1,21
89782,45,2020-06-01 22:00:00,871.128,15.2,1.2,87.0,0.0,0.0,0,1,22,1,22
89783,45,2020-06-01 23:00:00,801.7919999999998,14.6,0.5,90.0,0.0,0.0,0,1,23,1,23
89784,45,2020-06-02 00:00:00,834.192,14.1,0.5,94.0,0.0,0.0,0,1,24,2,0
89785,45,2020-06-02 01:00:00,975.888,13.6,0.2,94.0,0.0,0.0,0,1,25,2,1
89786,45,2020-06-02 02:00:00,966.168,13.8,0.9,92.0,0.0,0.0,0,1,26,2,2
89787,45,2020-06-02 03:00:00,971.352,13.9,0.4,95.0,0.0,0.0,0,1,27,2,3
89788,45,2020-06-02 04:00:00,956.88,13.2,0.1,97.0,0.0,0.0,0,1,28,2,4
