,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour
10200,6,2020-06-01 00:00:00,527.58,17.0,2.0,100.0,1.1,0.0,0,0,0,1,0
10201,6,2020-06-01 01:00:00,518.94,17.2,2.3,99.0,0.1,0.0,0,0,1,1,1
10202,6,2020-06-01 02:00:00,511.38,17.2,3.7,98.0,0.0,0.0,0,0,2,1,2
10203,6,2020-06-01 03:00:00,514.62,16.7,3.1,99.0,0.0,0.0,0,0,3,1,3
10204,6,2020-06-01 04:00:00,503.82,16.9,3.5,98.0,0.0,0.0,0,0,4,1,4
10205,6,2020-06-01 05:00:00,509.22,16.6,3.6,99.0,0.0,0.0,0,0,5,1,5
10206,6,2020-06-01 06:00:00,557.28,16.7,2.4,99.0,0.1,0.0,0,0,6,1,6
10207,6,2020-06-01 07:00:00,682.02,16.9,3.3,94.0,0.0,0.2,0,0,7,1,7
10208,6,2020-06-01 08:00:00,1094.04,17.9,2.7,88.0,0.0,0.4,0,0,8,1,8
10209,6,2020-06-01 09:00:00,1595.7,19.5,2.7,78.0,0.0,0.9,0,0,9,1,9
10210,6,2020-06-01 10:00:00,1776.06,20.7,3.2,68.0,0.0,1.0,0,0,10,1,10
10211,6,2020-06-01 11:00:00,1738.26,22.4,3.4,58.0,0.0,1.0,0,0,11,1,11
10212,6,2020-06-01 12:00:00,1649.7,23.2,4.8,49.0,0.0,1.0,0,0,12,1,12
10213,6,2020-06-01 13:00:00,1756.08,22.8,4.3,45.0,0.0,1.0,0,0,13,1,13
10214,6,2020-06-01 14:00:00,1737.18,23.6,4.4,47.0,0.0,1.0,0,0,14,1,14
10215,6,2020-06-01 15:00:00,1763.64,23.1,5.3,45.0,0.0,1.0,0,0,15,1,15
10216,6,2020-06-01 16:00:00,1719.9,22.9,5.2,43.0,0.0,1.0,0,0,16,1,16
10217,6,2020-06-01 17:00:00,1602.72,22.2,4.6,44.0,0.0,1.0,0,0,17,1,17
10218,6,2020-06-01 18:00:00,1224.18,21.6,4.6,50.0,0.0,1.0,0,0,18,1,18
10219,6,2020-06-01 19:00:00,953.64,19.9,2.5,58.0,0.0,1.0,0,0,19,1,19
10220,6,2020-06-01 20:00:00,820.26,17.3,1.9,72.0,0.0,0.3,0,0,20,1,20
10221,6,2020-06-01 21:00:00,726.84,16.1,2.8,80.0,0.0,0.0,0,0,21,1,21
10222,6,2020-06-01 22:00:00,663.12,15.2,1.2,87.0,0.0,0.0,0,0,22,1,22
10223,6,2020-06-01 23:00:00,627.48,14.6,0.5,90.0,0.0,0.0,0,0,23,1,23
10224,6,2020-06-02 00:00:00,601.02,14.1,0.5,94.0,0.0,0.0,0,0,24,2,0
10225,6,2020-06-02 01:00:00,570.78,13.6,0.2,94.0,0.0,0.0,0,0,25,2,1
10226,6,2020-06-02 02:00:00,545.4,13.8,0.9,92.0,0.0,0.0,0,0,26,2,2
10227,6,2020-06-02 03:00:00,551.88,13.9,0.4,95.0,0.0,0.0,0,0,27,2,3
10228,6,2020-06-02 04:00:00,527.58,13.2,0.1,97.0,0.0,0.0,0,0,28,2,4
10229,6,2020-06-02 05:00:00,524.88,13.4,0.7,98.0,0.0,0.0,0,0,29,2,5
10230,6,2020-06-02 06:00:00,570.78,14.5,0.4,96.0,0.0,0.0,0,0,30,2,6
10231,6,2020-06-02 07:00:00,735.48,15.7,0.3,91.0,0.0,0.0,0,0,31,2,7
10232,6,2020-06-02 08:00:00,1074.06,16.5,0.9,81.0,0.0,0.0,0,0,32,2,8
