,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour
97920,49,2020-06-01 00:00:00,943.92,17.6,2.5,92.0,0.8,0.0,0,0,0,1,0
97921,49,2020-06-01 01:00:00,827.28,17.7,2.9,91.0,0.3,0.0,0,0,1,1,1
97922,49,2020-06-01 02:00:00,761.4,17.5,3.2,91.0,0.0,0.0,0,0,2,1,2
97923,49,2020-06-01 03:00:00,726.84,17.1,3.2,91.0,0.0,0.0,0,0,3,1,3
97924,49,2020-06-01 04:00:00,724.14,17.0,3.3,92.0,0.0,0.0,0,0,4,1,4
97925,49,2020-06-01 05:00:00,767.34,16.9,3.4,93.0,0.0,0.0,0,0,5,1,5
97926,49,2020-06-01 06:00:00,906.66,16.7,3.4,90.0,0.1,0.0,0,0,6,1,6
97927,49,2020-06-01 07:00:00,1039.5,16.9,2.3,86.0,0.0,0.1,0,0,7,1,7
97928,49,2020-06-01 08:00:00,1034.37,17.8,3.3,80.0,0.0,0.3,0,0,8,1,8
97929,49,2020-06-01 09:00:00,979.83,19.3,2.1,73.0,0.0,0.7,0,0,9,1,9
97930,49,2020-06-01 10:00:00,934.74,20.5,3.4,62.0,0.0,1.0,0,0,10,1,10
97931,49,2020-06-01 11:00:00,916.11,22.1,3.6,52.0,0.0,1.0,0,0,11,1,11
97932,49,2020-06-01 12:00:00,948.24,23.1,4.0,49.0,0.0,1.0,0,0,12,1,12
97933,49,2020-06-01 13:00:00,949.59,23.1,5.1,42.0,0.0,1.0,0,0,13,1,13
97934,49,2020-06-01 14:00:00,916.11,23.6,5.1,39.0,0.0,1.0,0,0,14,1,14
97935,49,2020-06-01 15:00:00,912.87,23.8,5.5,40.0,0.0,1.0,0,0,15,1,15
97936,49,2020-06-01 16:00:00,954.45,24.4,3.0,39.0,0.0,1.0,0,0,16,1,16
97937,49,2020-06-01 17:00:00,1039.5,23.6,4.4,41.0,0.0,1.0,0,0,17,1,17
97938,49,2020-06-01 18:00:00,1153.17,22.7,4.1,42.0,0.0,1.0,0,0,18,1,18
97939,49,2020-06-01 19:00:00,1285.47,21.3,4.2,44.0,0.0,1.0,0,0,19,1,19
97940,49,2020-06-01 20:00:00,1373.76,19.8,2.5,51.0,0.0,0.4,0,0,20,1,20
97941,49,2020-06-01 21:00:00,1344.87,18.6,2.5,55.0,0.0,0.0,0,0,21,1,21
97942,49,2020-06-01 22:00:00,1246.59,17.9,2.0,62.0,0.0,0.0,0,0,22,1,22
97943,49,2020-06-01 23:00:00,1092.96,17.2,2.0,68.0,0.0,0.0,0,0,23,1,23
97944,49,2020-06-02 00:00:00,929.88,16.6,1.6,74.0,0.0,0.0,0,0,24,2,0
97945,49,2020-06-02 01:00:00,811.89,16.2,0.8,77.0,0.0,0.0,0,0,25,2,1
97946,49,2020-06-02 02:00:00,746.01,15.9,1.1,78.0,0.0,0.0,0,0,26,2,2
97947,49,2020-06-02 03:00:00,716.31,15.7,0.4,78.0,0.0,0.0,0,0,27,2,3
97948,49,2020-06-02 04:00:00,715.77,15.5,0.9,79.0,0.0,0.0,0,0,28,2,4
97949,49,2020-06-02 05:00:00,754.11,14.8,1.3,79.0,0.0,0.0,0,0,29,2,5
97950,49,2020-06-02 06:00:00,891.27,15.0,2.2,79.0,0.0,0.0,0,0,30,2,6
97951,49,2020-06-02 07:00:00,1051.38,15.5,1.4,77.0,0.0,0.0,0,0,31,2,7
97952,49,2020-06-02 08:00:00,1081.35,16.0,2.2,75.0,0.0,0.0,0,0,32,2,8
97953,49,2020-06-02 09:00:00,1036.8,16.9,2.5,71.0,0.0,0.0,0,0,33,2,9
97954,49,2020-06-02 10:00:00,998.46,17.3,2.5,65.0,0.0,0.0,0,0,34,2,10
97955,49,2020-06-02 11:00:00,1017.63,17.5,2.6,70.0,0.0,0.0,0,0,35,2,11
97956,49,2020-06-02 12:00:00,1015.74,16.3,2.9,80.0,1.9,0.0,0,0,36,2,12
97957,49,2020-06-02 13:00:00,942.57,17.5,2.2,68.0,0.0,0.0,0,0,37,2,13
97958,49,2020-06-02 14:00:00,931.23,20.4,3.1,51.0,0.0,0.1,0,0,38,2,14
97959,49,2020-06-02 15:00:00,918.81,20.9,2.2,48.0,0.0,0.0,0,0,39,2,15
97960,49,2020-06-02 16:00:00,992.79,21.7,2.5,46.0,0.0,0.1,0,0,40,2,16
97961,49,2020-06-02 17:00:00,1140.48,21.2,3.3,55.0,0.0,0.0,0,0,41,2,17
97962,49,2020-06-02 18:00:00,1265.76,20.6,2.4,58.0,0.0,0.0,0,0,42,2,18
97963,49,2020-06-02 19:00:00,1359.18,20.3,2.9,61.0,0.0,0.0,0,0,43,2,19
97964,49,2020-06-02 20:00:00,1379.16,19.9,3.1,65.0,0.0,0.0,0,0,44,2,20
97965,49,2020-06-02 21:00:00,1345.14,19.6,2.7,70.0,0.0,0.0,0,0,45,2,21
97966,49,2020-06-02 22:00:00,1244.16,19.3,2.2,74.0,0.0,0.0,0,0,46,2,22
97967,49,2020-06-02 23:00:00,1092.96,19.0,1.7,79.0,0.0,0.0,0,0,47,2,23
97968,49,2020-06-03 00:00:00,936.63,18.4,1.7,84.0,0.1,0.0,0,0,48,3,0
97969,49,2020-06-03 01:00:00,812.43,18.3,2.0,86.0,0.0,0.0,0,0,49,3,1
97970,49,2020-06-03 02:00:00,747.09,18.2,1.8,89.0,0.0,0.0,0,0,50,3,2
97971,49,2020-06-03 03:00:00,717.66,18.2,1.3,89.0,0.0,0.0,0,0,51,3,3
97972,49,2020-06-03 04:00:00,719.55,18.1,1.5,87.0,0.0,0.0,0,0,52,3,4
97973,49,2020-06-03 05:00:00,765.45,18.1,1.3,88.0,0.0,0.0,0,0,53,3,5
97974,49,2020-06-03 06:00:00,902.61,17.6,0.4,89.0,0.0,0.0,0,0,54,3,6
97975,49,2020-06-03 07:00:00,1043.28,18.3,1.8,88.0,0.0,0.3,0,0,55,3,7
97976,49,2020-06-03 08:00:00,1034.37,19.7,2.0,82.0,0.0,0.9,0,0,56,3,8
97977,49,2020-06-03 09:00:00,980.64,20.8,0.8,76.0,0.0,0.4,0,0,57,3,9
97978,49,2020-06-03 10:00:00,929.61,22.0,1.4,73.0,0.0,0.2,0,0,58,3,10
97979,49,2020-06-03 11:00:00,920.43,23.1,2.2,68.0,0.0,0.3,0,0,59,3,11
97980,49,2020-06-03 12:00:00,942.3,24.4,2.6,58.0,0.0,0.6,0,0,60,3,12
97981,49,2020-06-03 13:00:00,922.32,26.1,2.2,55.0,0.0,1.0,0,0,61,3,13
97982,49,2020-06-03 14:00:00,920.16,26.8,2.7,50.0,0.0,1.0,0,0,62,3,14
97983,49,2020-06-03 15:00:00,931.5,27.9,2.5,52.0,0.0,1.0,0,0,63,3,15
97984,49,2020-06-03 16:00:00,964.71,28.2,2.8,48.0,0.0,1.0,0,0,64,3,16
97985,49,2020-06-03 17:00:00,1049.49,28.1,3.8,49.0,0.0,1.0,0,0,65,3,17
97986,49,2020-06-03 18:00:00,1176.39,26.1,4.5,60.0,0.0,1.0,0,0,66,3,18
97987,49,2020-06-03 19:00:00,1304.64,23.8,4.8,68.0,0.0,0.8,0,0,67,3,19
97988,49,2020-06-03 20:00:00,1378.89,21.0,5.2,80.0,0.0,0.0,0,0,68,3,20
97989,49,2020-06-03 21:00:00,1355.67,20.5,3.1,81.0,0.0,0.0,0,0,69,3,21
97990,49,2020-06-03 22:00:00,1262.52,20.4,2.4,81.0,0.0,0.0,0,0,70,3,22
97991,49,2020-06-03 23:00:00,1118.88,20.1,2.2,81.0,0.0,0.0,0,0,71,3,23
97992,49,2020-06-04 00:00:00,947.7,20.1,1.5,81.0,0.0,0.0,0,0,72,4,0
97993,49,2020-06-04 01:00:00,816.21,20.0,2.2,83.0,0.0,0.0,0,0,73,4,1
97994,49,2020-06-04 02:00:00,752.22,20.1,1.0,84.0,0.0,0.0,0,0,74,4,2
97995,49,2020-06-04 03:00:00,721.17,20.4,2.6,86.0,0.0,0.0,0,0,75,4,3
97996,49,2020-06-04 04:00:00,714.42,20.5,2.0,88.0,0.0,0.0,0,0,76,4,4
97997,49,2020-06-04 05:00:00,760.59,20.3,2.0,91.0,0.0,0.0,0,0,77,4,5
97998,49,2020-06-04 06:00:00,903.42,20.1,3.0,91.0,0.1,0.0,0,0,78,4,6
97999,49,2020-06-04 07:00:00,1057.59,20.1,2.2,90.0,0.0,0.0,0,0,79,4,7
98000,49,2020-06-04 08:00:00,1071.09,20.1,3.5,89.0,0.1,0.0,0,0,80,4,8
98001,49,2020-06-04 09:00:00,1005.75,20.6,3.1,90.0,0.0,0.0,0,0,81,4,9
98002,49,2020-06-04 10:00:00,946.89,22.4,2.7,76.0,0.0,0.5,0,0,82,4,10
98003,49,2020-06-04 11:00:00,939.06,23.9,2.8,68.0,0.0,0.6,0,0,83,4,11
98004,49,2020-06-04 12:00:00,965.52,25.0,3.1,63.0,0.0,0.8,0,0,84,4,12
98005,49,2020-06-04 13:00:00,953.37,26.0,3.1,60.0,0.0,1.0,0,0,85,4,13
98006,49,2020-06-04 14:00:00,937.98,26.4,3.8,60.0,0.0,1.0,0,0,86,4,14
98007,49,2020-06-04 15:00:00,946.35,25.4,4.2,66.0,0.0,0.5,0,0,87,4,15
98008,49,2020-06-04 16:00:00,974.16,24.3,3.6,70.0,0.0,0.0,0,0,88,4,16
98009,49,2020-06-04 17:00:00,1041.66,23.2,4.1,75.0,0.0,0.1,0,0,89,4,17
98010,49,2020-06-04 18:00:00,1174.23,22.8,3.1,77.0,0.0,0.2,0,0,90,4,18
98011,49,2020-06-04 19:00:00,1331.64,21.7,3.3,80.0,0.0,0.0,0,0,91,4,19
98012,49,2020-06-04 20:00:00,1392.39,21.4,2.5,83.0,0.0,0.0,0,0,92,4,20
98013,49,2020-06-04 21:00:00,1390.23,20.8,1.9,86.0,0.0,0.0,0,0,93,4,21
98014,49,2020-06-04 22:00:00,1293.03,20.3,1.6,89.0,0.0,0.0,0,0,94,4,22
98015,49,2020-06-04 23:00:00,1140.48,19.9,1.4,91.0,0.0,0.0,0,0,95,4,23
98016,49,2020-06-05 00:00:00,971.46,19.7,2.0,90.0,0.0,0.0,0,0,96,5,0
98017,49,2020-06-05 01:00:00,829.71,19.5,1.4,90.0,0.0,0.0,0,0,97,5,1
98018,49,2020-06-05 02:00:00,768.42,19.3,1.6,90.0,0.0,0.0,0,0,98,5,2
98019,49,2020-06-05 03:00:00,736.02,19.3,1.6,90.0,0.0,0.0,0,0,99,5,3
98020,49,2020-06-05 04:00:00,727.38,18.9,1.5,90.0,0.0,0.0,0,0,100,5,4
98021,49,2020-06-05 05:00:00,770.31,18.4,1.3,92.0,0.0,0.0,0,0,101,5,5
98022,49,2020-06-05 06:00:00,905.85,18.7,1.3,92.0,0.0,0.0,0,0,102,5,6
98023,49,2020-06-05 07:00:00,1047.87,19.0,1.1,90.0,0.0,0.0,0,0,103,5,7
98024,49,2020-06-05 08:00:00,1055.16,19.9,2.2,86.0,0.0,0.1,0,0,104,5,8
98025,49,2020-06-05 09:00:00,1006.02,21.0,1.5,77.0,0.0,0.2,0,0,105,5,9
98026,49,2020-06-05 10:00:00,961.2,22.3,1.3,71.0,0.0,0.6,0,0,106,5,10
98027,49,2020-06-05 11:00:00,958.23,23.9,2.5,67.0,0.0,0.8,0,0,107,5,11
98028,49,2020-06-05 12:00:00,973.08,25.1,2.2,60.0,0.0,0.8,0,0,108,5,12
98029,49,2020-06-05 13:00:00,953.37,26.3,1.8,57.0,0.0,0.9,0,0,109,5,13
